label,sentences,class
D_s1,আমি খাবার কোথাও খুঁজে পাচ্ছি না,Dementia
D_s2,আমি কি খেয়েছি মনে করতে পারছি না,Dementia
D_s3,কোথায় খাবারটা রাখা হয়েছে মনে নেই,Dementia
D_s4,আজকের রান্নাটা মজাদার হয়েছে,Dementia
D_s5,পানির গ্লাসটা একটু এগিয়ে দাও,Dementia
D_s6,আমার ইলিশ মাছ অনেক পছন্দ,Dementia
D_s7,মুরগির ডিমটা সিদ্ধ করে আনো,Dementia
D_s8,আমার রুটি দিয়ে হাঁসের মাংস খেতে ইচ্ছা করছে,Dementia
D_s9,খাওয়ার পর একটু হাটাহাটি দরকার,Dementia
D_s10,আমার এখন ক্ষুধা নেই,Dementia
D_s11,ভাত খেতে ইচ্ছা করছে না এখন,Dementia
D_s12,আমার অনেক ক্ষুধা লেগেছে,Dementia
D_s13,আমি হাঁসের ডিমটা বেশি খাই,Dementia
D_s14,সবাই আসো একসাথে খেতে বসি,Dementia
D_s15,আমার প্লেটে আরেকটু ভাত দাও,Dementia
D_s16,আমি আজকে মাংস কিনে এনেছি,Dementia
D_s17,আমার গরুর মাংসে একটু সমস্যা আছে,Dementia
D_s18,বাড়িতে তরকারি শেষ হয়ে গেছে,Dementia
D_s19,ভাবছিি আজকে বিরিয়ানি রান্না করবো,Dementia
D_s20,বিরিয়ানি রান্নার মসলা শেষ হয়ে গেছে,Dementia
D_s21,বিরিয়ানির মসলা কিনতে হবে,Dementia
D_s22,ভালো মাছ পাওয়া গেলে কিনতে হবে,Dementia
D_s23,ঈদ আসলে দই এর দাম বেড়ে যাবে,Dementia
D_s24,এবার করবানির ছাগলের দাম অনেক বেশি,Dementia
D_s25,পেঁয়াাজের দাম একাধারে বেড়েই চলেছে,Dementia
D_s26,হাটে তরকারি দাম দোকানের মতোই বেশি,Dementia
D_s27,ইলিশ মাছের দাম শুনলে খাইতে ইচ্ছা করে না,Dementia
D_s28,হোটেলেের মুরগি রান্না খুব একটা ভালো হয়না,Dementia
D_s29,হোটেলগুলোতে খাবারের মান খুবই জঘন্য,Dementia
D_s30,এই বছর বৃষ্টি কম হাওয়াই আমের ফলন কম হয়েছে,Dementia
D_s31,সব ধরনের মুরগির দাম বেড়েছে,Dementia
D_s32,খাঁটি দুধ পাওয়া খুবই কষ্টকর,Dementia
D_s33,গ্রামের চেয়ে শহরে খাবারের দাম বেশি,Dementia
D_s34,শহরে সব ধরনের জিনিস সহজে পাওয়া যায়,Dementia
D_s35,রমজান মাস এলে খাবারের দাম বৃদ্ধি হয়,Dementia
D_s36,এক লিটার সয়াবিন তেল কিনতে হবে,Dementia
D_s37,পোলাাও এর চাল কিনতে হবে,Dementia
D_s38,বাড়িতেই সবজি চাষ করা উচিত,Dementia
D_s39,আটা ময়দার দাম বাড়াতে অনেক অসুবিধা হচ্ছে,Dementia
D_s40,গ্রামের মা্নুষ টাটকা শাকসবজি খেতে পারে,Dementia
D_s41,শহরে গ্রামের মতো জ্যান্ত মাছ পাওয়া যায় না,Dementia
D_s42,ডিমের দাাম বৃদ্ধি পেয়েছে,Dementia
D_s43,এখনকার ছেলেমেয়েরা সকালের নাস্তা করতে চায় না,Dementia
D_s44,অনেকেই তেলেভাজা খাবার খুব পছন্দ করে,Dementia
D_s45,গ্রামে খাঁটি খাবার দাবার পাওয়া যায়,Dementia
D_s46,কচুশাক এনেছি রান্না করতে হবে,Dementia
D_s47,সোনাালি মুরগি আমার পছন্দের,Dementia
D_s48,শহরের অধিকাংশ জিনিসেই ভেজাল দেয়া,Dementia
D_s49,তোমার বাবা ডাটা শাক খুব পছন্দ করেন,Dementia
D_s50,ভাতের সাথে আলু ভর্তা খেতে আমার খুব ভালো লাগে,Dementia
D_s51,ইলিশ মাছের পাতলা ঝোলটা সত্যিই সুস্বাদু,Dementia
D_s52,সন্ধ্যায় ফুচকা খেতে মন চাচ্ছে,Dementia
D_s53,বিকেলের নাস্তায় আমরা মুড়ি আর চপ খেলাম,Dementia
D_s54,দইটা বেশি টক লাগছে আগে এমন লাগতো না মনে হয়,Dementia
D_s55,বিকেলে কি খেয়েছি মনে করতে পারছি না,Dementia
D_s56,দুধ টা ঠান্ডা হয়ে গিয়েছে আরেকবার গরম করে আনো,Dementia
D_s57,আমার চায়ে চিনি দেওয়ার দরকার নেই,Dementia
D_s58,ভাতের উপরে একটু ঘি দিয়ে দাও মজা লাগবে খেতে,Dementia
D_s59,বিস্কুটের বক্স কোথায় থাকে জানি না,Dementia
D_s60,আগে মাংস অনেক পছন্দ করতাম এখন ভালো লাগেনা,Dementia
D_s61,সবজিটার নাম কিছুতেই মনে করতে পারছিনা,Dementia
D_s62,সকালে সবার জন্য হোটেল থেকে পরোটা কিনে এনেছিলাম,Dementia
D_s63,আমার মেয়ে অনেক পদের সবজি রান্না করতে পারে,Dementia
D_s64,আজ দুপুরে কি রান্না হবে জানিনা আমি,Dementia
D_s65,রাতে আমার জন্য একটা লেবু কেটে রেখো,Dementia
D_s66,বয়স হয়ে গিয়েছে বেশি মিষ্টি খাওয়া ঠিক হবে না,Dementia
D_s67,ছেলেকে বললাম বাইরে থেকে কিছু খাবার এনে দিতে,Dementia
D_s68,এত গরম ভাত খেতে পারবো না আগে ঠান্ডা হোক,Dementia
D_s69,আমার খাবার নিয়ে এনে দাও ক্ষুধা লেগেছে,Dementia
D_s70,তোমার মা এখন মাঝেমধ্যে আমাকে খাইয়ে দেয়,Dementia
D_s71,এই জামাটা পরতে আমার ভালো লাগছে না,Dementia
D_s72,আজ কোন পোশাকটা পরব বুঝে উঠতে পারছি না,Dementia
D_s73,আমার জন্য কেউ একটু কাপড় বের করে দাও তো,Dementia
D_s74,বাইরে অনেক গরম হালকা কাপড় পরবো,Dementia
