label,sentences,class
s1,আমি খাবার কোথাও খুঁজে পাচ্ছি না।,Dementia
s2,আমি কি খেয়েছি মনে করতে পারছি না।,Dementia
s3,কোথায় খাবারটা রাখা হয়েছে মনে নেই।,Dementia
s4,আজকের রান্নাটা মজাদার হয়েছে।,Dementia
s5,পানির গ্লাসটা একটু এগিয়ে দাও।,Dementia
s6,আমার ইলিশ মাছ অনেক পছন্দ।,Dementia
s7,মুরগির ডিমটা সিদ্ধ করে আনো।,Dementia
s8,আমার রুটি দিয়ে হাঁসের মাংস খেতে ইচ্ছা করছে।,Dementia
s9,খাওয়ার পর একটু হাটাহাটি দরকার।,Dementia
s10,আমার এখন ক্ষুধা নেই।,Dementia
s11,ভাত খেতে ইচ্ছা করছে না এখন।,Dementia
s12,আমার অনেক ক্ষুধা লেগেছে।,Dementia
s13,আমি হাঁসের ডিমটা বেশি খাই।,Dementia
s14,সবাই আসো একসাথে খেতে বসি।,Dementia
s15,আমার প্লেটে আরেকটু ভাত দাও।,Dementia
s16,আমি আজকে মাংস কিনে এনেছি।,Dementia
s17,আমার গরুর মাংসে একটু সমস্যা আছে।,Dementia
s18,বাড়িতে তরকারি শেষ হয়ে গেছে।,Dementia
s19,ভাবছিি আজকে বিরিয়ানি রান্না করবো।,Dementia
s20,বিরিয়ানি রান্নার মসলা শেষ হয়ে গেছে।,Dementia
s21,বিরিয়ানির মসলা কিনতে হবে।,Dementia
s22,ভালো মাছ পাওয়া গেলে কিনতে হবে।,Dementia
s23,ঈদ আসলে দই এর দাম বেড়ে যাবে।,Dementia
s24,এবার করবানির ছাগলের দাম অনেক বেশি।,Dementia
s25,পেঁয়াাজের দাম একাধারে বেড়েই চলেছে।,Dementia
s26,হাটে তরকারি দাম দোকানের মতোই বেশি।,Dementia
s27,ইলিশ মাছের দাম শুনলে খাইতে ইচ্ছা করে না।,Dementia
s28,হোটেলেের মুরগি রান্না খুব একটা ভালো হয়না।,Dementia
s29,হোটেলগুলোতে খাবারের মান খুবই জঘন্য।,Dementia
s30,এই বছর বৃষ্টি কম হাওয়াই আমের ফলন কম হয়েছে।,Dementia
s31,সব ধরনের মুরগির দাম বেড়েছে।,Dementia
s32,খাঁটি দুধ পাওয়া খুবই কষ্টকর।,Dementia
s33,গ্রামের চেয়ে শহরে খাবারের দাম বেশি।,Dementia
s34,শহরে সব ধরনের জিনিস সহজে পাওয়া যায়।,Dementia
s35,রমজান মাস এলে খাবারের দাম বৃদ্ধি হয়।,Dementia
s36,এক লিটার সয়াবিন তেল কিনতে হবে।,Dementia
s37,পোলাাও এর চাল কিনতে হবে।,Dementia
s38,বাড়িতেই সবজি চাষ করা উচিত।,Dementia
s39,আটা ময়দার দাম বাড়াতে অনেক অসুবিধা হচ্ছে।,Dementia
s40,গ্রামের মা্নুষ টাটকা শাকসবজি খেতে পারে।,Dementia
s41,শহরে গ্রামের মতো জ্যান্ত মাছ পাওয়া যায় না।,Dementia
s42,ডিমের দাাম বৃদ্ধি পেয়েছে।,Dementia
s43,এখনকার ছেলেমেয়েরা সকালের নাস্তা করতে চায় না।,Dementia
s44,অনেকেই তেলেভাজা খাবার খুব পছন্দ করে।,Dementia
s45,গ্রামে খাঁটি খাবার দাবার পাওয়া যায়।,Dementia
s46,কচুশাক এনেছি রান্না করতে হবে।,Dementia
s47,সোনাালি মুরগি আমার পছন্দের।,Dementia
s48,শহরের অধিকাংশ জিনিসেই ভেজাল দেয়া।,Dementia
s49,তোমার বাবা ডাটা শাক খুব পছন্দ করেন।,Dementia
s50,ভাতের সাথে আলু ভর্তা খেতে আমার খুব ভালো লাগে।,Dementia
s51,ইলিশ মাছের পাতলা ঝোলটা সত্যিই সুস্বাদু।,Dementia
s52,সন্ধ্যায় ফুচকা খেতে মন চাচ্ছে।,Dementia
s53,বিকেলের নাস্তায় আমরা মুড়ি আর চপ খেলাম।,Dementia
s54,"দইটা বেশি টক লাগছে, আগে এমন লাগতো না মনে হয়।",Dementia
s55,বিকেলে কি খেয়েছি মনে করতে পারছি না।,Dementia
s56,"দুধ টা ঠান্ডা হয়ে গিয়েছে, আরেকবার গরম করে আনো।",Dementia
s57,আমার চায়ে চিনি দেওয়ার দরকার নেই।,Dementia
