label,sentences,class
s1,আজকে অফিসে অনেক ব্যস্ত ছিলাম তাই ক্লান্ত লাগছে।,Non_Dementia
s2,বিকেলে এক কাপ গরম চা বানিয়ে খাবো।,Non_Dementia
s3,শীতের কাপড়গুলো আগেভাগেই বের করে রাখতে হবে।,Non_Dementia
s4,আগামী মাসে একটা দীর্ঘ ছুটি নিবো ভাবছি।,Non_Dementia
s5,তোমার সাথে সময় কাটানো সবসময়ই আনন্দের হয়।,Non_Dementia
s6,আজকের আবহাওয়াটা সত্যিই মনমুগ্ধকর ছিল।,Non_Dementia
s7,কাজ শেষে আজ একটু বিশ্রাম নেওয়া খুবই প্রয়োজন।,Non_Dementia
s8,"রাস্তায় জ্যাম ছিল, তাই বাসায় ফিরতে দেরি হলো।",Non_Dementia
s9,বিকেলে পার্কে গিয়ে হাঁটা আমার অনেক পছন্দের।,Non_Dementia
s10,আজকে ডিনারের স্পেশাল কিছু বানানোর ইচ্ছা আছে।,Non_Dementia
s11,কাজগুলো অনেক তাড়াতাড়ি শেষ হয়ে গেল।,Non_Dementia
s12,শীত আসছে এইজন্য একটু গরম কাপড় কিনতে হবে।,Non_Dementia
s13,"আজকে খুব সুন্দর একটা বই পড়লাম, মন ছুঁয়ে গেছে।",Non_Dementia
s14,"বাইরের বাতাসটা বেশ ঠাণ্ডা, মন ভালো হয়ে গেল।",Non_Dementia
s15,তোমার জন্য একটা চমৎকার উপহার নিয়ে এসেছি।,Non_Dementia
s16,পরের সপ্তাহে ভাবছি সবাই মিলে কোথাও ঘুরতে যাব।,Non_Dementia
s17,কাজের চাপ কমে গেলে একটা সিনেমা দেখবো।,Non_Dementia
s18,শীতের সকালে কুয়াশায় ভরা রাস্তা দেখতে ভালো লাগে।,Non_Dementia
s19,"আজকে অনেক কাজ করেছি, পুরো দিনটাই ব্যস্ত ছিলাম।",Non_Dementia
s20,বিকেলের দিকে আবহাওয়াটা ঠাণ্ডা হয়ে যায়।,Non_Dementia
s21,রাতের খাবারের জন্য ভিন্ন কিছু বানানোর ইচ্ছা আছে।,Non_Dementia
s22,আজকের দিনটা মনে হচ্ছে অনেক জলদি কেটে গেল।,Non_Dementia
s23,"কালকে তাড়াতাড়ি উঠতে হবে, অনেক কাজ বাকি।",Non_Dementia
s24,আজকে বৃষ্টির পর বাইরে অনেক পরিষ্কার লাগছিল।,Non_Dementia
s25,শীতকালে একটু বেশি শাকসবজি খাওয়া উচিত।,Non_Dementia
s26,কাজ করতে করতে অনেকটা সময় পার হয়ে গেছে।,Non_Dementia
s27,তোমার সাথে গল্প করালে সময় কখন কেটে যায় বুঝতেই পারি না।,Non_Dementia
s28,শীতের ছুটির জন্য একটা বড় প্ল্যান করছি এবার।,Non_Dementia
s29,বিকেলে বাইরে হাঁটতে গেলে আমাকে সাথে নিয়ে যেও।,Non_Dementia
s30,"আজকে পুরোনো বন্ধুদের সাথে দেখা হয়েছে, অনেক কথা হলো।",Non_Dementia
s31,কাজ শেষে আরামের জন্য বই পড়া আমার পছন্দের।,Non_Dementia
s32,শীতকালে এমনিতেই শরীরের আলসেমি চলে আসে।,Non_Dementia
s33,আজকের খাবারে একটু বেশি ঝাল হয়ে গেছে।,Non_Dementia
s34,"বিকেলে বাসায় কিছু মেহমান আসবে, তাদের জন্য রান্না করতে হবে।",Non_Dementia
s35,ইদানিং কিছু বাংলা সিনেমা আমার খুব ভালো লেগেছে।,Non_Dementia
s36,সন্ধ্যায় জলদি আসবে একসাথে শপিং এ যাব।,Non_Dementia
s37,শীত আসছে আমার একটা সোয়েটার কিনতে হবে।,Non_Dementia
s38,নরম কাপড়ের জামা পড়লে আমার বেশি আরাম লাগে।,Non_Dementia
s39,"দুপুরে অনেকক্ষণ ঘুমিয়েছি, রাতে আর ঘুম আসবে না।",Non_Dementia
s40,"ডাক্তারকে রিপোর্ট দেখালাম, বলল সব ঠিকঠাক আছে।",Non_Dementia
s41,কাল সকাল আটটায় আমার ক্লাস আছে।,Non_Dementia
s42,কিছু কেনাকাটার জন্য আজ একটু শহরে যাওয়া লাগবে।,Non_Dementia
s43,বিকেলে বন্ধুদের সাথে ফুটবল খেলতে যাব।,Non_Dementia
s44,পরশুদিন থেকে আমার ফাইনাল পরীক্ষা শুরু হবে।,Non_Dementia
s45,মাসের শেষের দিকে হাতে একদমই টাকা থাকে না।,Non_Dementia
s46,আজকে দুপুরে মা আমার জন্য মাছ রান্না করেছিলো।,Non_Dementia
s47,"কাল আমার এক বন্ধুর জন্মদিন, ভাবছি সারপ্রাইজ দেব।",Non_Dementia
s48,বাবা বলেছে সন্ধ্যার আগেই বাসায় ফিরে আসতে।,Non_Dementia
s49,পরশু অফিসে আমার একটা জরুরি মিটিং আছে।,Non_Dementia
s50,আমাকে শুক্রবারের মধ্যে প্রজেক্ট শেষ করে জমা দিতে হবে।,Non_Dementia
s51,এইবার গণিত অলিম্পিকে অংশগ্রহণ করব।,Non_Dementia
s52,আজকেই আমার ইন্টারনেটের বিল দেয়ার শেষ দিন।,Non_Dementia
s53,আমি গতকালকে থেকে নতুন একটা কোর্স শুরু করছি।,Non_Dementia
s54,আগামী সপ্তাহে ছুটির জন্য পরিকল্পনা করছি।,Non_Dementia
s55,আজকে আমাকে এক্সারসাইজ করতেই হবে।,Non_Dementia
s56,চিন্তা করছি কালকে নতুন বই কিনতে যাব।,Non_Dementia
s57,আগামী মাসে আমার একটা চাকরির ইন্টারভিউ আছে।,Non_Dementia
s58,আজকে দুপুরে অনেক পুরোনো বন্ধুর সাথে দেখা করব।,Non_Dementia
s59,আজকে বিকেলে আমাকে টিউশনে যেতে হবে।,Non_Dementia
s60,আগামী সপ্তাহের মাঝামাঝি থেকে পরীক্ষা শুরু হবে।,Non_Dementia
s61,আগামী মাসে নতুন ফোন কিনব ভাবছি।,Non_Dementia
s62,কালকে বাবাকে ডাক্তারের কাছে নিয়ে যেতে হবে।,Non_Dementia
s63,"আগামীকাল আমার ব্যাংকে যেতে হবে, কিছু কাজ আছে।",Non_Dementia
s64,"সামনের সপ্তাহে বন্ধুর বিয়ে, আমাকে দাওয়াত দিয়েছে।",Non_Dementia
s65,তিন দিনের মধ্যে রিপোর্টটা জমা দিতে হবে।,Non_Dementia
s66,আমরা আজকে সন্ধ্যায় বাইরে খেতে যাচ্ছি।,Non_Dementia
s67,টেস্টের রিপোর্টগুলো নিয়ে ডাক্তারের সাথে পরামর্শ করতে হবে।,Non_Dementia
s68,"পরশু ছুটি আছে , আমরা চাইলে কোথাও ঘুরতে যেতে পারি।",Non_Dementia
s69,এইবার পুরো মাসের বাজার একবারে করে আনবো।,Non_Dementia
s70,আমাদেরকে ল্যাবে প্রচুর কাজ করতে হয়।,Non_Dementia
s71,প্রেজেন্টেশনে সবাইকে ফরমাল পরতে বলেছে।,Non_Dementia
s72,আমাদের ঢাকার ফ্ল্যাটে আপাতত কেউ থাকেনা।,Non_Dementia
s73,তোমাকে নিয়ে আজকে বিকালে বইমেলা দেখতে যাব।,Non_Dementia
s74,"গাড়িটা সার্ভিসিং এ দেওয়া দরকার, অনেকদিন হয়ে গেছে।",Non_Dementia
s75,"আজকে আসতে একটু দেরি হবে, কিছু জরুরী কাজ আছে।",Non_Dementia
s76,ক্লাবের মিটিং ছিল তাই আসতে দেরি হল।,Non_Dementia
s77,তোমার হাতের রান্না দিন দিন সুস্বাদু হচ্ছে।,Non_Dementia
s78,কিছুদিন আগে একটা ফ্রিল্যান্সিং কোর্সে ভর্তি হয়েছি।,Non_Dementia
s79,কাল আমাকে ইন্টারভিউয়ের জন্য ডেকেছে।,Non_Dementia
s80,আগামী সপ্তাহে বন্ধুদের সাথে ট্যুরে যাচ্ছি।,Non_Dementia
s81,"কালকে পরীক্ষা আছে, তাই আজকে আমাকে পড়তেই হবে।",Non_Dementia
s82,খুব কফি খেতে ইচ্ছা করছে কিন্তু বানাতে মন চাচ্ছে না।,Non_Dementia
s83,এই মাসের বেতন পেলে নতুন টিভি কিনব।,Non_Dementia
s84,আজ থেকে বিকালে দৌড়ানো শুরু করেছি।,Non_Dementia
s85,এইবার অফিসে কাজের অনেক চাপ।,Non_Dementia
s86,পরের মাসে ভাবছি গ্রামের বাড়ি থেকে ঘুরে আসবো।,Non_Dementia
s87,কাজের মেয়েকে দিয়ে বাসার টূকি টাকি কাজ করিয়ে নিতে হবে।,Non_Dementia
s88,অনেকদিন হয়ে গেছে জামা কাপড় কেনা হচ্ছে না।,Non_Dementia
s89,"দেশের বাইরে চলে যাব, পরের মাসে আমার ফ্লাইট।",Non_Dementia
